customer_name,customer_key,customer_location_key,delivery_address,customer_location_count,customer_key_is_ambiguous,customer_match_status,province,hcmc_district,region,latitude,longitude,distance_from_my_phuoc_km,distance_from_vinh_loc_km,Source Sheet
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN CHÂU AN GIANG,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN CHAU AN GIANG,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN CHAU AN GIANG | LO H1, H2-1, ĐUONG N6, KCN LE MINH XUAN 3, XA BINH LOI, TP.HCM","Lô H1, H2-1, đường N6, KCN Lê Minh Xuân 3, Xã Bình Lợi, TP.HCM",2,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN THÀNH,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",3,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN THÀNH,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH | ĐUONG SO 2, KCN SONG THAN, PHUONG DI AN, TP HO CHI MINH","Đường Số 2, KCN Sóng Thần, Phường Dĩ An,  TP Hồ Chí Minh",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART TÂN THÀNH,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART TAN THANH | SO 7/20 ĐUONG ĐT 743, KHU PHO BINH ĐANG, PHUONG BINH HOA, TP.HCM","Số 7/20 Đường ĐT 743, khu phố Bình Đáng, phường Bình Hòa, TP.HCM",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH - CO.OPMART THOẠI SƠN,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART THOAI SON,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH - CO.OPMART THOAI SON | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",1,False,unique_resolvable_customer_geography,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
CHI NHÁNH LIÊN HIỆP HỢP TÁC XÃ THƯƠNG MẠI TP. HỒ CHÍ MINH-CO.OPMART ĐỒNG VĂN CỐNG,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH-CO.OPMART ĐONG VAN CONG,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP. HO CHI MINH-CO.OPMART ĐONG VAN CONG | 125 ĐONG VAN CONG, PHUONG THANH MY LOI, THANH PHO THU ĐUC, TP.HCM","125 Đồng Văn Cống, Phường Thạnh Mỹ Lợi, Thành Phố Thủ Đức, TP.HCM",1,False,unique_resolvable_customer_geography,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
Chi Nhánh Liên Hiệp Hợp Tác Xã Thương Mại TP.Hồ Chí Minh - Co.opMart Cái Bè,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CAI BE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CAI BE | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",2,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
Chi Nhánh Liên Hiệp Hợp Tác Xã Thương Mại TP.Hồ Chí Minh - Co.opMart Cái Bè,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CAI BE,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CAI BE | LO H1, H2-1, ĐUONG N6, KCN LE MINH XUAN 3, XA BINH LOI, TP.HCM","Lô H1, H2-1, đường N6, KCN Lê Minh Xuân 3, Xã Bình Lợi, TP.HCM",2,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
Chi Nhánh Liên Hiệp Hợp Tác Xã Thương Mại TP.Hồ Chí Minh - Co.opMart Chợ Mới,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI | ĐUONG SO 2 KCN SONG THAN 1, DI AN, BINH DUONG","Đường số 2 KCN Sóng Thần 1, Dĩ An, Bình Dương",3,True,ambiguous_multi_location_customer,Binh Duong,,Southeast / HCMC fringe,11.05,106.667,12.681954889846134,31.500912827113666,pivot
Chi Nhánh Liên Hiệp Hợp Tác Xã Thương Mại TP.Hồ Chí Minh - Co.opMart Chợ Mới,CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI,"CHI NHANH LIEN HIEP HOP TAC XA THUONG MAI TP.HO CHI MINH - CO.OPMART CHO MOI | LO H1, H2-1, ĐUONG N6, KCN LE MINH XUAN 3, XA BINH LOI, TP.HCM","Lô H1, H2-1, đường N6, KCN Lê Minh Xuân 3, Xã Bình Lợi, TP.HCM",3,True,ambiguous_multi_location_customer,Ho Chi Minh City,HCMC unspecified,HCMC,10.776,106.701,42.85038075579038,14.889282161736565,pivot
