source_warehouse,region,province,geography_source,shipment_lines,orders,customers,quantity,cbm_total
My Phuoc,Đông Nam Bộ,Tây Ninh,distributor_match,85,21,2,202.0,8.645600166666666
Vinh Loc,Tây Nguyên,Lâm Đồng,transaction_text_parse,75,23,4,191.925,14.362870214733334
My Phuoc,Đồng bằng sông Cửu Long,Cà Mau,distributor_match,36,9,4,177.0,9.479160666666667
My Phuoc,Đồng bằng sông Cửu Long,Cà Mau,transaction_text_parse,34,12,2,167.0,8.38992355
Vinh Loc,Đồng bằng sông Hồng,Hà Nội,transaction_text_parse,56,30,8,135.16666666666666,8.876056049166667
My Phuoc,Bắc Trung Bộ và Duyên hải miền Trung,Quảng Ngãi,transaction_text_parse,60,18,2,131.0,6.52900205
Vinh Loc,Đồng bằng sông Cửu Long,Cần Thơ,transaction_text_parse,30,12,4,119.5,10.831961483333332
My Phuoc,Đồng bằng sông Cửu Long,Đồng Tháp,distributor_match,15,3,2,112.0,6.756832500000001
Vinh Loc,Đồng bằng sông Hồng,Hải Phòng,transaction_text_parse,67,36,3,110.875,6.713456904166667
Vinh Loc,Đông Nam Bộ,Đồng Nai,transaction_text_parse,56,28,5,102.33333333333333,8.775720865916668
Vinh Loc,Đông Nam Bộ,Đồng Nai,distributor_match,12,5,2,99.58333333333333,3.4068573333333334
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Thanh Hóa,transaction_text_parse,72,29,8,85.0,6.5296196150000005
Vinh Loc,Tây Nguyên,Đắk Lắk,distributor_match,14,5,1,84.0,8.710050258333332
My Phuoc,Trung du và miền núi phía Bắc,Sơn La,transaction_text_parse,9,4,2,70.0,4.345587500000001
Vinh Loc,Đồng bằng sông Cửu Long,An Giang,transaction_text_parse,55,27,4,63.5,3.8266209448333335
Vinh Loc,Bắc Trung Bộ và Duyên hải miền Trung,Khánh Hòa,distributor_match,8,5,1,60.25,2.754381
My Phuoc,Trung du và miền núi phía Bắc,Lào Cai,distributor_match,1,1,1,60.0,2.8050000000000006
My Phuoc,Trung du và miền núi phía Bắc,Tuyên Quang,transaction_text_parse,18,5,2,57.0,4.093643833333333
