customer_segment,orders,customers,avg_order_quantity,median_order_quantity,avg_order_cbm,median_order_cbm,avg_sku_breadth,avg_lines_per_order,avg_distance_km,avg_orders_per_customer_month,province_count,region_count,top_province_quantity_share,segment_sku_breadth,carton_qty_share,loose_qty_share,pallet_qty_share,provinces
Modern Trade,1564,119,80.1864183716965,18.5,5.160962801243969,1.084429025625,2.8395140664961636,2.9789002557544757,277.6970748125938,2.1904761904761907,34,6,0.23495548356886564,196,0.22521050192941414,0.022259179061579055,0.7525303190090068,34
Traditional Trade / Distributor,3762,261,37.66246002210915,11.0,1.91843572397052,0.530985,4.350877192982456,4.443115364167996,270.37070680771376,2.4022988505747125,60,6,0.2693118659066443,462,0.48520612679777764,0.08623406367907432,0.428559809523148,60
