sku_code,product_name,category,abc_quantity,xyz,abc_xyz,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Total,Mean/Mo,Std Dev,CV,quantity,quantity_share,order_frequency,frequency_share,cbm_total
4200008366,QUẠT SÀN TURB0 VY616790,Fan,A,X,AX,454.0,1034.0,673.0,153.0,206.0,300.0,18.0,2838.0,405.42857142857144,349.70552237697416,0.8625576661870398,2838.0,0.01070084369093779,680,0.033636723387415905,296.57099999999997
4200009226,Quạt lửng ASIAvina - VY358291 - Chuối non,Fan,A,Y,AY,400.0,0.0,29.0,190.0,310.0,1760.0,0.0,2689.0,384.14285714285717,626.8546957021297,1.6318270248846811,2689.0,0.010139030544373403,27,0.001335575781559161,171.38812075
4200008736,Quạt treo ASIAVINA VY357192 - 55W Xanh Thiên Thanh,Fan,A,Y,AY,718.0,1132.0,192.0,132.0,364.0,4.0,0.0,2542.0,363.14285714285717,420.44398301931125,1.157792242775444,2542.0,0.009584758513870282,57,0.002819548872180451,77.68796850000001
1830009179,Bàn ủi khô tích hợp bình xịt nước Tefal FS3120L0,SDA,A,Z,AZ,0.0,0.0,0.0,0.0,3.0,0.0,2525.0,2528.0,361.14285714285717,954.1719671302143,2.642090098857397,2528.0,0.009531970701441413,27,0.001335575781559161,82.8338745
4200009625,Quạt treo ASIAVINA - VY617090 - Đen,Fan,A,X,AX,185.0,396.0,49.0,379.0,573.0,916.0,5.0,2503.0,357.57142857142856,318.7192375445078,0.8913442520221952,2503.0,0.009437706750675576,99,0.004897111199050257,103.63671500000001
4200008695,Quạt treo BCN ASIAVINA VY557990 - 55W Đen,Fan,B,Y,BY,115.0,495.0,435.0,765.0,320.0,75.0,0.0,2205.0,315.0,272.68724453727816,0.8656737921818354,2205.0,0.008314080457546802,36,0.001780767708745548,68.6537775
7211004545,"Nồi cơm điện Tefal Fuzzy Express RK522168 - 750W, 1.5L",SDA,B,X,BX,176.0,586.0,648.0,149.0,293.0,255.0,5.5,2112.5,301.7857142857143,234.47065508339867,0.7769441825248713,2112.5,0.007965303839713207,555,0.027453502176493866,81.39474
4200008262,Quạt sàn TEFAL TB Silence Plus VH686790 - Xám Cánh Trắng,Fan,B,X,BX,582.0,391.0,745.0,44.0,149.0,92.0,47.0,2050.0,292.85714285714283,283.16157258794175,0.9668931746905329,2050.0,0.007729643962798615,403,0.019934705184012663,186.3368
4200009004,Quạt đứng BCN ASIAVINA - VY589790 - Xám,Fan,B,Y,BY,270.0,726.0,470.0,0.0,406.0,174.0,0.0,2046.0,292.2857142857143,263.93541778606516,0.9030048506854624,2046.0,0.00771456173067608,70,0.0034626038781163434,99.1287
4200008260,Quạt đứng TEFAL TB Silence Plus VH689690 - Trắng Cánh Trắng,Fan,B,X,BX,142.0,617.0,252.0,318.0,474.0,218.0,18.0,2039.0,291.2857142857143,201.69012063535675,0.692413361671161,2039.0,0.007688167824461646,109,0.005391768895924021,149.413842
4200009620,Quạt sàn ASIAVINA TURBO PLUS - VY636792 - Xám,Fan,B,Y,BY,678.0,96.0,968.0,122.0,81.0,90.0,0.0,2035.0,290.7142857142857,375.02564991642646,1.2900145205970444,2035.0,0.007673085592339112,68,0.0033636723387415906,208.79100000000003
4200009005,Quạt đứng BCN ASIAVINA - VY589890 - Đen,Fan,B,Y,BY,244.0,453.0,706.0,290.0,159.0,84.0,0.5,1936.5,276.64285714285717,239.40877077460954,0.8654073820925725,1936.5,0.0073016856263217154,75,0.003709932726553225,93.84765
4200000156,Quạt treo ASIAvina - L20002-DV0 - Đen,Fan,B,Y,BY,324.0,325.0,501.0,200.0,442.0,60.0,1.0,1853.0,264.7142857142857,187.1057760427813,0.706821604047204,1853.0,0.006986844030763821,73,0.0036110011871784723,73.9746
7211005095,Nồi cơm điện tử Tefal Rice Mate Mini 0.7L RK515168,SDA,B,X,BX,126.0,448.0,372.0,0.0,266.0,335.0,301.0,1848.0,264.0,153.11977882255013,0.5799991622066293,1848.0,0.0069679912406106536,608,0.03007518796992481,57.308832
4200009007,Quạt treo BCN ASIAVINA - VY587890 - Đen,Fan,B,Y,BY,310.0,200.0,655.0,211.0,191.0,251.0,0.2,1818.2,259.74285714285713,198.68885941879796,0.764944459317779,1818.2,0.006855628611297776,56,0.002770083102493075,55.02475
4200009010,Quạt lửng BCN ASIAVINA - VY558890 - Đen,Fan,B,Y,BY,402.0,320.0,336.0,332.0,96.0,280.0,0.0,1766.0,252.28571428571428,146.74435172061908,0.5816593782810496,1766.0,0.0066588054820987085,50,0.002473288484368817,60.79455000000001
4200009655,Quạt đứng ASIAVINA TURBO DECOR - VY659991 - Xám,Fan,B,Y,BY,1185.0,137.0,362.0,14.0,10.0,23.0,0.0,1731.0,247.28571428571428,433.36117126699844,1.7524715186995894,1731.0,0.006526835951026537,80,0.003957261574990107,116.84250000000002
4200009008,Quạt sàn BCN ASIAVINA - VY586790 - Xám,Fan,B,Y,BY,281.0,332.0,555.0,0.0,330.0,193.0,3.0,1694.0,242.0,197.2392793875838,0.8150383445767926,1694.0,0.006387325303893099,71,0.00351206964780372,180.56346000000002
4200009453,Quạt đứng TEFAL Turbo Silence Extreme VH699690 - Trắng,Fan,B,X,BX,731.0,306.0,82.0,147.0,201.0,115.0,36.0,1618.0,231.14285714285714,237.08748636416092,1.0257184206113266,1618.0,0.006100762893564955,137,0.006776810447170558,118.56380400000002
4200009617,Quạt đứng ASIAVINA TURBO PLUS - VY639792 - Xám,Fan,B,Y,BY,598.0,131.0,481.0,36.0,259.0,41.0,1.0,1547.0,221.0,236.04307516496505,1.0680682134161315,1547.0,0.0058330532733899786,80,0.003957261574990107,80.43827916666667
4200008107,Quạt lửng ASIAvina - VY358990 - xám,Fan,B,X,BX,183.0,447.0,1.0,211.0,241.0,403.0,44.0,1530.0,218.57142857142858,166.24866630327912,0.7606148131522574,1530.0,0.00576895378686921,106,0.005243371586861892,77.69952
2100122707,Chảo chiên sâu lồng Tefal So Chef 28cm,CW,B,X,BX,165.0,340.0,271.0,7.0,256.0,324.0,146.0,1509.0,215.57142857142858,117.50582559013425,0.5450899795433662,1509.0,0.005689772068225907,486,0.0240403640680649,17.669025
