warehouse,channel,operating_start,operating_end,operating_months,period_note,orders,quantity,total_cbm,avg_cbm_per_order,active_days,avg_orders_per_day,peak_daily_orders,p95_daily_orders,volatility_index,order_share_in_warehouse,cbm_share_in_warehouse,flow_type
My Phuoc,B2B,2025-06-02,2025-11-29,4.6,Primary RDC: Jun to Nov 2025 (6 months),3492,259646.0,14916.562221939468,4.271638666076594,137,25.48905109489051,160,89.19999999999999,1.7937219730941707,0.8942381562099871,0.9921698779080816,Mixed flow
My Phuoc,B2C,2025-06-02,2025-11-29,4.6,Primary RDC: Jun to Nov 2025 (6 months),413,2407.0,117.72026745635912,0.2850369672066807,9,45.888888888888886,220,154.79999999999995,1.4211886304909565,0.1057618437900128,0.007830122091918327,Small fragmented flow
Vinh Loc,B2B,2025-12-01,2025-12-30,0.9,New RDC: Dec 2025 only (1 month),1250,19603.907936507938,1090.5779365111375,0.87246234920891,26,48.65384615384615,161,83.0,1.9397590361445782,0.9727626459143969,0.9970744809384121,Large-volume flow
Vinh Loc,B2C,2025-12-01,2025-12-30,0.9,New RDC: Dec 2025 only (1 month),47,47.825,3.1998678157000002,0.06808229395106384,5,9.4,25,22.799999999999997,1.0964912280701755,0.036575875486381325,0.0029255190615879705,Small fragmented flow
