customer_segment,orders,customers,avg_order_quantity,median_order_quantity,avg_order_cbm,median_order_cbm,avg_sku_breadth,avg_lines_per_order,avg_distance_km,avg_orders_per_customer_month,normalized_frequency_7m,active_month_frequency,province_count,region_count,top_province_quantity_share
Modern Trade,1564,132,80.1864183716965,18.5,5.160962801243969,1.084429025625,2.8395140664961636,2.9789002557544757,277.6970748125938,1.9188311688311688,1.9188311688311688,7.1039682539682545,34,6,0.23495548356886564
Traditional Trade / Distributor,3782,270,41.32553532606415,11.0,2.1301730493329183,0.5379085,4.333950290851401,4.426493918561608,287.71810544542933,2.1005291005291005,2.1005291005291005,4.489894179894179,60,6,0.272943114847685
