sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,monthly_mean_quantity,monthly_std_quantity,demand_cv,monthly_nonzero_periods,xyz_low_sample_flag,xyz_frequency,abc_xyz_frequency,xyz_volatility,abc_xyz_volatility,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
4200009163,Quạt lửng ASIAVINA - VY628890 - Đen,Fan,54167.0,0.19228288937626203,0.19228288937626203,A,267,0.012840242377608925,0.474752332403578,7738.142857142857,7579.496078864597,0.9794980809727727,7,0,X,AX,Y,AY,1,3656.2725000000005,1,24,0.0675,4.5,4.5
4200009000,Quạt đứng ASIAVINA Turbo X - VY629890 - Đen,Fan,13530.0,0.04802901200474136,0.2403119013810034,A,150,0.007213619313263441,0.5782918149466193,1932.857142857143,2352.359059084549,1.2170372072129965,6,0,X,AX,Z,AZ,1,632.5275000000001,3,36,0.04675000000000001,5.0,15.0
4200008102,Quạt lửng ASIAvina - VY538790 - Xám,Fan,12677.0,0.04500101886061391,0.2853129202416173,A,514,0.024718668846782726,0.2689718187938829,1811.0,2780.6104845279333,1.535400598855844,7,0,X,AX,Z,AZ,1,643.788768,1,34,0.050784,4.0,4.0
4200000163,Quạt trần đảo ASIAvina - X16001-XV0 - Xám,Fan,10717.0,0.0380433792797349,0.3233562995213522,A,161,0.00774261806290276,0.5485236125805522,1531.0,1318.1796792041162,0.8609926056199322,6,0,X,AX,Y,AY,1,589.606472,1,28,0.055016,3.5,3.5
4200008999,Quạt đứng ASIAVINA Turbo X - VY629790 - Xám,Fan,9338.666666666666,0.03315054940440586,0.35650684892575807,A,170,0.008175435221698567,0.5407809945176494,1334.095238095238,1123.64311116557,0.8422510470615708,7,0,X,AX,Y,AY,1,436.73850000000004,3,36,0.04675000000000001,5.0,15.0
4200007858,Quạt sàn ASIAvina - VY636790 - Xám,Fan,7469.0,0.026513576545706817,0.38302042547146486,A,210,0.010099067038568818,0.5054342598826586,1067.0,646.7977530367073,0.6061834611403067,7,0,X,AX,Y,AY,1,766.3194,1,18,0.1026,4.5,4.5
4200008101,Quạt lửng ASIAvina - VY538990 - Đen,Fan,6851.0,0.02431979018806231,0.43204693580387304,A,131,0.006299894200250072,0.6054631143599116,978.7142857142857,751.6809416868556,0.7680289872730973,7,0,X,AX,Y,AY,1,325.860964,1,34,0.047564,4.0,4.0
4200008229,Quạt treo ASIAvina - VY377990 - Xám,Fan,5608.0,0.019907368759984445,0.4519543045638575,A,825,0.039674906222948926,0.039674906222948926,801.1428571428571,387.70496883215577,0.48393986837109315,7,0,X,AX,X,AX,1,232.19923999999997,1,40,0.041405,3.8,3.8
4200009001,Quạt treo ASIAVINA Turbo X - VY627790 - Xám,Fan,5340.0,0.01895601804178262,0.4709103226056401,A,147,0.0070693469269981725,0.5925747811868809,762.8571428571429,616.7547942176666,0.8084800673265292,6,0,X,AX,Y,AY,1,200.25000000000003,2,48,0.03750000000000001,4.0,8.0
4200009382,Quạt sàn ASIAVINA TURBO MAX - VY646990 - Xám,Fan,5253.0,0.0186471840399783,0.48955750664561837,A,127,0.006107531018563047,0.6178705395787248,750.4285714285714,913.551103686936,1.2173724968224924,7,0,X,AX,Z,AZ,1,499.035,1,18,0.095,5.0,5.0
4200007859,Quạt đứng ASIAvina - VY639990 - Xám,Fan,5235.0,0.018583287349949816,0.5081407939955682,A,126,0.006059440223141291,0.6239299798018662,747.8571428571429,766.771897540033,1.0252919355836163,7,0,X,AX,Z,AZ,1,353.3625,1,24,0.0675,5.6,5.6
4200008113,Quạt đứng ASIAvina - VY539790 - Xám,Fan,4378.0,0.015541094941371595,0.5562088539775492,A,102,0.00490526113301914,0.6779359430604985,625.4285714285714,673.4606786697244,1.0767987096135383,6,0,X,AX,Z,AZ,1,246.72569239999999,1,30,0.0563558,4.5,4.5
