sku_code,product_name,category,quantity,quantity_share,quantity_cumulative_share,abc_quantity,order_frequency,frequency_share,frequency_cumulative_share,abc_frequency,weekly_mean_quantity,weekly_std_quantity,demand_cv,weekly_nonzero_weeks,xyz_low_sample_flag,xyz,abc_xyz,fast_moving_flag,cbm_total,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg
7211005095,Nồi cơm điện tử Tefal Rice Mate Mini 0.7L RK515168,SDA,3952.0,0.011120966412443542,0.430493538448897,A,1078,0.02594277188169326,0.02594277188169326,A,146.37037037037038,60.249855185365796,0.41162603492026223,27,0,X,AX,1,214.132128,4,56,0.020832,3.0,12.0
4200009163,Quạt lửng ASIAVINA - VY628890 - Đen,Fan,37775.0,0.10629921716347542,0.10629921716347542,A,237,0.005703559309797127,0.46059249632998805,A,1399.0740740740741,1355.0647423058633,0.9685439587626289,22,0,Y,AY,1,2549.8125,1,24,0.0675,4.5,4.5
4200007858,Quạt sàn ASIAvina - VY636790 - Xám,Fan,7134.0,0.020075145340681232,0.2819600219057759,A,294,0.00707530142227998,0.37958751474021124,A,264.22222222222223,258.18007033454137,0.9771323099288781,27,0,Y,AY,1,731.9484,1,18,0.1026,4.5,4.5
4200008229,Quạt treo ASIAvina - VY377990 - Xám,Fan,6517.0,0.0183389013435968,0.3187203688780821,A,944,0.022717974634803746,0.048660746516497,A,241.37037037037038,197.82395984389524,0.8195867601327561,26,0,Y,AY,1,269.836385,1,40,0.041405,3.8,3.8
4200008117,Quạt treo ASIAvina - VY357690 - trắng,Fan,5146.0,0.014480894017822488,0.38234653564644105,A,775,0.018650879599547567,0.1254542391644406,A,190.59259259259258,151.43728309848507,0.7945601717176637,26,0,Y,AY,1,213.07012999999998,1,40,0.041405,3.8,3.8
4200008371,QUẠT ĐỨNG VY619990,Fan,4241.0,0.011934215221450674,0.4081200506696117,A,737,0.01773638485789233,0.17969821673525377,A,157.07407407407408,125.93799632112191,0.8017745580453411,27,0,Y,AY,1,286.26750000000004,1,24,0.0675,4.2,4.2
7211004640,Máy xay nấu đa năng  Tefal Perfectmix Cook BL83SD66 - 1.75L,SDA,3462.0,0.00974210164976709,0.4815124726711656,A,836,0.020118884316415182,0.06877963083291219,A,128.22222222222223,120.98961599859378,0.943593192363383,27,0,Y,AY,1,151.147458,1,40,0.043659,8.0,8.0
4200008366,QUẠT SÀN TURB0 VY616790,Fan,3211.0,0.009035785210110378,0.4999160962383166,A,762,0.01833802613529709,0.14379226529973768,A,118.92592592592592,87.828909699013,0.7385177707484742,27,0,Y,AY,1,335.54949999999997,1,18,0.1045,3.2,3.2
7211004136,Máy xay sinh tố Tefal - BL967B66,SDA,3124.0,0.008790966364492314,0.5264437658663796,A,326,0.007845402257358074,0.35701393401198467,A,115.70370370370371,104.24668038057791,0.9009796319704236,27,0,Y,AY,1,141.02985600000002,1,45,0.045144,7.1,7.1
7211004545,"Nồi cơm điện Tefal Fuzzy Express RK522168 - 750W, 1.5L",SDA,2357.5,0.00663402791430558,0.6187242901085012,A,606,0.014583784564291387,0.2428224195605612,A,87.31481481481481,81.96119486920298,0.9386860069855698,19,0,Y,AY,1,91.04066999999999,2,36,0.03843000000000001,5.3,10.6
2100122707,Chảo chiên sâu lồng Tefal So Chef 28cm,CW,2105.75,0.005925600967359056,0.6430056764777754,A,778,0.018723076552836136,0.10680335956489304,A,77.99074074074075,47.127817273545155,0.6042745180509173,27,0,Y,AY,1,35.328975,4,168,0.009075000000000001,1.1,4.4
2100122708,Chảo chiên Tefal So Chef 21cm,CW,2074.1666666666665,0.005836725160377019,0.6488424016381524,A,682,0.016412774047601858,0.21314947175895843,A,76.820987654321,45.801409066657484,0.5962095836720379,27,0,Y,AY,1,25.7725,6,336,0.00528125,1.0,6.0
1830008176,"Bàn ủi hơi nước đứng Tefal IXEO Plus QT1510E0 - 2980W, 1L",SDA,1966.0,0.0055323431090242925,0.6601293946240611,A,488,0.01174403773494092,0.3082087935889105,A,72.81481481481481,64.55709282192184,0.8865928312268005,27,0,Y,AY,1,230.63642415,1,12,0.117312525,16.0,16.0
7211004596,Nồi cơm điện tửTefal Easy Rice Plus RK736B68,SDA,1841.5,0.005181998898915684,0.6868017981520431,A,802,0.019300652179144707,0.08808028301205689,A,68.20370370370371,49.554167964744025,0.7265612462927442,27,0,Y,AY,1,123.75663300000001,4,48,0.039501,4.55,18.2
7211419468,Bình đun siêu tốc Tefal Colour KO1408E0 - 1.5L - Black,SDA,1651.6666666666667,0.004647806053783549,0.7206257259817924,A,627,0.015089163237311385,0.2282386349962698,A,61.17283950617284,38.42701711284912,0.6281712181918827,27,0,Y,AY,1,24.507340000000042,3,162,0.01048666666666667,,
7211419352,Bình đun siêu tốc Tefal KI605830 - thủy tinh - 1.7L,SDA,1611.75,0.004535480165803614,0.725161206147596,A,755,0.018169566577623756,0.16196183187736143,A,59.69444444444444,31.617632414321907,0.5296578719942246,27,0,Y,AY,1,37.6838325,4,88,0.0160425,,
7211004924,Nồi cơm điện tử cao tần Tefal RK818A68 - 1.8L,SDA,1437.0,0.004043731967277675,0.7468487790576929,A,549,0.013212042451808534,0.27040165571679536,A,53.22222222222222,49.41841243078826,0.9285296698895498,27,0,Y,AY,1,95.311392,2,30,0.045408,6.2,12.4
7211419286,Nồi chiên không dầu Tefal EasyFry Window 6L EY821868,SDA,1406.0,0.003956497665965491,0.7547758444382227,A,320,0.00770100835078093,0.3725122133179313,A,52.074074074074076,45.95225442358282,0.8824401631840229,27,0,Y,AY,1,89.47784,1,24,0.06364,7.8,7.8
