province,region,shipment_lines,orders,customers,quantity,cbm_total,quantity_rank,orders_rank,customers_rank,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,my_phuoc_quantity_share,vinh_loc_quantity_share,quantity_share_gap,dominance_intensity,dominant_warehouse
Khánh Hòa,Bắc Trung Bộ và Duyên hải miền Trung,608,175,9,10830.75,676.1660348096667,7,7,7,129,46,10365.0,465.75,0.9569974378505643,0.04300256214943563,0.9139948757011287,0.9139948757011287,My Phuoc
Cần Thơ,Đồng bằng sông Cửu Long,934,217,8,16519.083333333332,1021.7180662746667,4,5,9,164,53,15752.0,767.0833333333334,0.9535638075155503,0.04643619248444981,0.9071276150311004,0.9071276150311004,My Phuoc
Sơn La,Trung du và miền núi phía Bắc,13,6,2,73.41666666666667,4.54240125,46,52,46,4,2,70.0,3.416666666666667,0.9534619750283768,0.046538024971623154,0.9069239500567536,0.9069239500567536,My Phuoc
Hồ Chí Minh,Đông Nam Bộ,7370,1491,107,53549.09166666667,2905.882611973789,1,1,1,1128,363,50459.0,3090.0916666666667,0.942294228146727,0.057705771853272955,0.8845884562934541,0.8845884562934541,My Phuoc
Tiền Giang,Đồng bằng sông Cửu Long,367,139,6,12118.583333333334,763.2372886166667,6,9,14,97,42,11411.0,707.5833333333334,0.9416117120400487,0.05838828795995132,0.8832234240800974,0.8832234240800974,My Phuoc
Hà Nội,Đồng bằng sông Hồng,536,182,15,12804.466666666667,786.0565525640167,5,6,2,118,64,12039.0,765.4666666666667,0.9402187778223224,0.05978122217767758,0.8804375556446449,0.8804375556446449,My Phuoc
An Giang,Đồng bằng sông Cửu Long,253,73,11,1139.5,55.73043952566667,20,16,4,45,28,1057.0,82.5,0.927599824484423,0.07240017551557701,0.855199648968846,0.855199648968846,My Phuoc
Hậu Giang,Đồng bằng sông Cửu Long,8,4,2,86.33333333333333,3.7375663333333335,43,56,40,2,2,80.0,6.333333333333334,0.9266409266409267,0.07335907335907337,0.8532818532818534,0.8532818532818534,My Phuoc
Lào Cai,Trung du và miền núi phía Bắc,12,5,1,27.166666666666668,1.631410375,55,55,55,4,1,25.0,2.166666666666667,0.920245398773006,0.07975460122699388,0.8404907975460122,0.8404907975460122,My Phuoc
Bạc Liêu,Đồng bằng sông Cửu Long,11,5,4,81.66666666666667,6.027454,44,53,24,2,3,75.0,6.666666666666666,0.9183673469387754,0.08163265306122448,0.836734693877551,0.836734693877551,My Phuoc
