geography_source,shipment_rows,orders,quantity,row_share,quantity_share
unresolved,27885,6353,199467.09538690475,0.63528044835285,0.5613023451886234
transaction_text_parse,9982,2546,113961.04166666667,0.2274114913199982,0.32068747892259086
distributor_match,6027,1193,41936.6625,0.1373080603271518,0.11801017588878558
