sku_code,carton,loose,pallet,total_orders,pallet_share,carton_share,loose_share,avg_qty_per_order,baseline_pick_time_sec,pcs_per_carton,pcs_per_pallet,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,ergonomic_penalty,abc_quantity,xyz_frequency,order_frequency,quantity,size_score_norm
1830008850,0,3,0,3,0.0,0.0,1.0,0.7083333333333334,6.0,8,288,0.00490875,1.25,10.0,0,C,Z,3,2.125,0.3780723796320365
1830008851,1,3,0,4,0.0,0.25,0.75,2.53125,7.5,8,288,0.00490875,1.25,10.0,0,C,Z,4,10.125,0.3780723796320365
1830008852,0,11,0,11,0.0,0.0,1.0,0.9659090909090909,6.0,8,288,0.00490875,1.25,10.0,0,C,Z,11,10.625,0.3780723796320365
1830008904,0,2,0,2,0.0,0.0,1.0,0.6666666666666666,6.0,3,120,0.013464,2.666666666666667,8.0,0,C,Z,2,1.3333333333333333,1.0369985269907287
1830008955,0,4,0,4,0.0,0.0,1.0,1.0,6.0,6,300,0.006715,1.1,6.6,0,C,Z,4,4.0,0.5171899219208811
1830008982,1,122,0,123,0.0,0.008130081300813009,0.991869918699187,0.7181571815718156,6.048780487804878,6,216,0.006885,1.333333333333333,8.0,0,C,X,123,88.33333333333333,0.5302833376657135
1830008984,0,1,0,1,0.0,0.0,1.0,1.0,6.0,6,180,0.007020000000000001,1.5,9.0,0,C,Z,1,1.0,0.5406810501689628
1830009015,198,0,0,198,0.0,1.0,0.0,1.5454545454545454,12.0,1,16,0.074088,8.0,8.0,1,C,X,198,306.0,5.706264621783208
1830009016,2,0,0,2,0.0,1.0,0.0,3.0,12.0,1,16,0.074088,8.0,8.0,1,C,Z,2,6.0,5.706264621783208
1830009179,14,11,3,28,0.10714285714285714,0.5,0.39285714285714285,90.32142857142857,21.21428571428571,6,300,0.0054665,1.0,6.0,0,A,Y,28,2529.0,0.10764217076244485
1830009180,0,4,0,4,0.0,0.0,1.0,3.541666666666667,6.0,6,300,0.00100625,,,1,C,Z,4,14.166666666666668,0.0775014681955155
1830009219,6,57,0,63,0.0,0.09523809523809523,0.9047619047619048,1.8571428571428572,6.571428571428571,6,108,0.0171,2.5,15.0,0,C,Y,63,117.0,1.3170435837449095
1830009220,1,9,0,10,0.0,0.1,0.9,2.216666666666667,6.6000000000000005,6,84,0.019968,2.5,15.0,0,C,Z,10,22.166666666666668,1.5379372093694943
1830009258,0,23,0,23,0.0,0.0,1.0,0.3423913043478261,6.0,8,288,0.005355,1.573,11.0,0,C,Z,23,7.875,0.41244259596222166
1830009279,0,17,0,17,0.0,0.0,1.0,0.9509803921568628,6.0,6,210,0.008714666666666667,,,1,C,Z,17,16.166666666666668,0.6712044337899984
1830009281,15,94,0,109,0.0,0.13761467889908258,0.8623853211009175,2.319571865443425,6.825688073394495,6,210,0.008714666666666667,1.5,9.0,0,C,X,109,252.83333333333334,0.6712044337899984
1830009282,0,1,0,1,0.0,0.0,1.0,0.125,6.0,8,280,0.006552000000000001,0.6,4.8,0,C,Z,1,0.125,0.5046356468243653
1830009340,0,1,0,1,0.0,0.0,1.0,0.8333333333333334,6.0,6,216,0.006885,0.01568627450980392,8.0,0,C,Z,1,0.8333333333333334,0.5302833376657135
1830009469,1,0,0,1,0.0,1.0,0.0,1.0,12.0,1,48,0.026364,3.0,3.0,0,C,Z,1,1.0,2.03055772174566
1830009516,22,0,1,23,0.043478260869565216,0.9565217391304348,0.0,3.130434782608696,16.695652173913047,1,12,0.162,19.0,19.0,2,C,Z,23,72.0,12.477255003899142
2027437120,0,3,0,3,0.0,0.0,1.0,2.0208333333333335,6.0,32,,0.00011475,0.03125,1.0,0,C,Z,3,6.0625,0.008838055627761892
2027451120,0,23,0,23,0.0,0.0,1.0,1.75,6.0,32,,0.00011475,0.03125,1.0,0,C,Z,23,40.25,0.008838055627761892
2027453120,0,1,0,1,0.0,0.0,1.0,1.0,6.0,10,,0.000792,0.1,1.0,0,C,Z,1,1.0,0.0609999133523958
