sku_code,abc_class,xyz_class,zone_assignment,travel_contribution,rank_in_zone
1830007629,C,Y,Reserve / Bulk Zone,49,38
2100131964,C,Y,Reserve / Bulk Zone,46,39
2100132120,C,Y,Reserve / Bulk Zone,46,40
2100112229,C,Y,Reserve / Bulk Zone,45,41
2100122706,C,Y,Reserve / Bulk Zone,45,42
2100120061,C,Y,Reserve / Bulk Zone,44,43
2100112289,C,Y,Reserve / Bulk Zone,43,44
4200009009,C,Y,Reserve / Bulk Zone,41,45
2100136212,C,Y,Reserve / Bulk Zone,41,46
7211005445,C,Y,Reserve / Bulk Zone,40,47
7211004920,C,Y,Reserve / Bulk Zone,39,48
2100136220,C,Y,Reserve / Bulk Zone,39,49
2100124960,C,Y,Reserve / Bulk Zone,39,50
4200009627,C,Y,Reserve / Bulk Zone,37,51
7115900325,C,Y,Reserve / Bulk Zone,37,52
4200009378,C,Y,Reserve / Bulk Zone,35,53
2100111903,C,Y,Reserve / Bulk Zone,35,54
7211005120,C,Y,Reserve / Bulk Zone,34,55
7211005280,C,Y,Reserve / Bulk Zone,34,56
7211419330,C,Y,Reserve / Bulk Zone,34,57
7115900326,C,Y,Reserve / Bulk Zone,34,58
7115900500,C,Y,Reserve / Bulk Zone,34,59
4200009379,C,Y,Reserve / Bulk Zone,32,60
7115900499,C,Y,Reserve / Bulk Zone,31,61
2100122709,C,Y,Reserve / Bulk Zone,30,62
2100118816,C,Y,Reserve / Bulk Zone,30,63
2100112226,C,Y,Reserve / Bulk Zone,30,64
7211003302,C,Y,Reserve / Bulk Zone,29,65
4200009619,C,Y,Reserve / Bulk Zone,28,66
1830007745,C,Y,Reserve / Bulk Zone,28,67
4200009622,C,Y,Reserve / Bulk Zone,25,68
7211004534,C,Y,Reserve / Bulk Zone,25,69
2100131959,C,Y,Reserve / Bulk Zone,25,70
4200000161,C,Y,Reserve / Bulk Zone,24,71
4200009018,C,Y,Reserve / Bulk Zone,24,72
2100136883,C,Y,Reserve / Bulk Zone,24,73
7211004184,C,Y,Reserve / Bulk Zone,24,74
2100129888,C,Z,Reserve / Bulk Zone,23,75
1830009516,C,Z,Reserve / Bulk Zone,23,76
2027451120,C,Z,Reserve / Bulk Zone,23,77
2100112230,C,Z,Reserve / Bulk Zone,23,78
7211419476,C,Z,Reserve / Bulk Zone,23,79
2100112225,C,Z,Reserve / Bulk Zone,23,80
1830009258,C,Z,Reserve / Bulk Zone,23,81
1510001949,C,Z,Reserve / Bulk Zone,22,82
2100121732,C,Z,Reserve / Bulk Zone,21,83
2100120953,C,Z,Reserve / Bulk Zone,21,84
1510001964,C,Z,Reserve / Bulk Zone,21,85
7116900165,C,Z,Reserve / Bulk Zone,21,86
7211004996,C,Z,Reserve / Bulk Zone,21,87
7211004944,C,Z,Reserve / Bulk Zone,21,88
4200009024,C,Z,Reserve / Bulk Zone,20,89
2100136214,C,Z,Reserve / Bulk Zone,20,90
8010001360,C,Z,Reserve / Bulk Zone,20,91
7211004196,C,Z,Reserve / Bulk Zone,20,92
7115900757,C,Z,Reserve / Bulk Zone,20,93
7115900926,C,Z,Reserve / Bulk Zone,20,94
7115900916,C,Z,Reserve / Bulk Zone,19,95
2100111905,C,Z,Reserve / Bulk Zone,19,96
7211004358,C,Z,Reserve / Bulk Zone,19,97
1830007520,C,Z,Reserve / Bulk Zone,18,98
7211004888,C,Z,Reserve / Bulk Zone,18,99
1510002613,C,Z,Reserve / Bulk Zone,18,100
7211005448,C,Z,Reserve / Bulk Zone,18,101
7211005180,C,Z,Reserve / Bulk Zone,18,102
2100136188,C,Z,Reserve / Bulk Zone,17,103
2100112224,C,Z,Reserve / Bulk Zone,17,104
1830009279,C,Z,Reserve / Bulk Zone,17,105
2100140776,C,Z,Reserve / Bulk Zone,16,106
2100129889,C,Z,Reserve / Bulk Zone,16,107
2100127513,C,Z,Reserve / Bulk Zone,16,108
7211003241,C,Z,Reserve / Bulk Zone,16,109
2100124959,C,Z,Reserve / Bulk Zone,16,110
7115900943,C,Z,Reserve / Bulk Zone,16,111
2100136221,C,Z,Reserve / Bulk Zone,15,112
2100136851,C,Z,Reserve / Bulk Zone,15,113
7211004067,C,Z,Reserve / Bulk Zone,15,114
2100121619,C,Z,Reserve / Bulk Zone,15,115
2100124957,C,Z,Reserve / Bulk Zone,15,116
2100124958,C,Z,Reserve / Bulk Zone,15,117
7212000170,C,Z,Reserve / Bulk Zone,15,118
7211004427,C,Z,Reserve / Bulk Zone,15,119
2100112292,C,Z,Reserve / Bulk Zone,14,120
2100131960,C,Z,Reserve / Bulk Zone,14,121
2100118820,C,Z,Reserve / Bulk Zone,14,122
2100111904,C,Z,Reserve / Bulk Zone,14,123
7211005398,C,Z,Reserve / Bulk Zone,14,124
4200009623,C,Z,Reserve / Bulk Zone,13,125
2100127352,C,Z,Reserve / Bulk Zone,13,126
7115900921,C,Z,Reserve / Bulk Zone,13,127
2100131965,C,Z,Reserve / Bulk Zone,13,128
2100132743,C,Z,Reserve / Bulk Zone,13,129
7211005447,C,Z,Reserve / Bulk Zone,13,130
7211005446,C,Z,Reserve / Bulk Zone,13,131
2100118304,C,Z,Reserve / Bulk Zone,13,132
7115900755,C,Z,Reserve / Bulk Zone,13,133
7115900944,C,Z,Reserve / Bulk Zone,13,134
2100139431,C,Z,Reserve / Bulk Zone,12,135
7212000261,C,Z,Reserve / Bulk Zone,12,136
7115900972,C,Z,Reserve / Bulk Zone,12,137
2100125800,C,Z,Reserve / Bulk Zone,12,138
7115900919,C,Z,Reserve / Bulk Zone,12,139
2100118302,C,Z,Reserve / Bulk Zone,12,140
2100121729,C,Z,Reserve / Bulk Zone,11,141
7211005279,C,Z,Reserve / Bulk Zone,11,142
7115900948,C,Z,Reserve / Bulk Zone,11,143
2100118301,C,Z,Reserve / Bulk Zone,11,144
1510002077,C,Z,Reserve / Bulk Zone,11,145
2100112231,C,Z,Reserve / Bulk Zone,11,146
1830008852,C,Z,Reserve / Bulk Zone,11,147
7211003301,C,Z,Reserve / Bulk Zone,11,148
1830009220,C,Z,Reserve / Bulk Zone,10,149
7115900945,C,Z,Reserve / Bulk Zone,10,150
2100121620,C,Z,Reserve / Bulk Zone,10,151
1830007750,C,Z,Reserve / Bulk Zone,10,152
2100118139,C,Z,Reserve / Bulk Zone,10,153
3100518440,C,Z,Reserve / Bulk Zone,9,154
3110600838,C,Z,Reserve / Bulk Zone,9,155
7211003293,C,Z,Reserve / Bulk Zone,9,156
2100134676,C,Z,Reserve / Bulk Zone,9,157
2100118827,C,Z,Reserve / Bulk Zone,8,158
7115900937,C,Z,Reserve / Bulk Zone,8,159
2100131963,C,Z,Reserve / Bulk Zone,8,160
3100518418,C,Z,Reserve / Bulk Zone,8,161
2100136215,C,Z,Reserve / Bulk Zone,8,162
2100127800,C,Z,Reserve / Bulk Zone,8,163
2100131478,C,Z,Reserve / Bulk Zone,8,164
7211005459,C,Z,Reserve / Bulk Zone,8,165
2100110227,C,Z,Reserve / Bulk Zone,8,166
1830008018,C,Z,Reserve / Bulk Zone,8,167
8010001050,C,Z,Reserve / Bulk Zone,8,168
2100125810,C,Z,Reserve / Bulk Zone,8,169
7115900932,C,Z,Reserve / Bulk Zone,8,170
2100121737,C,Z,Reserve / Bulk Zone,8,171
4200008116,C,Z,Reserve / Bulk Zone,7,172
2100133030,C,Z,Reserve / Bulk Zone,7,173
2100124435,C,Z,Reserve / Bulk Zone,7,174
4200009232,C,Z,Reserve / Bulk Zone,7,175
7211004185,C,Z,Reserve / Bulk Zone,7,176
7114000640,C,Z,Reserve / Bulk Zone,7,177
3100518437,C,Z,Reserve / Bulk Zone,7,178
2100124956,C,Z,Reserve / Bulk Zone,7,179
2100120185,C,Z,Reserve / Bulk Zone,7,180
2100127802,C,Z,Reserve / Bulk Zone,7,181
7211004028,C,Z,Reserve / Bulk Zone,7,182
2100118303,C,Z,Reserve / Bulk Zone,7,183
2100110225,C,Z,Reserve / Bulk Zone,7,184
2100104354,C,Z,Reserve / Bulk Zone,7,185
2100118828,C,Z,Reserve / Bulk Zone,6,186
2100139604,C,Z,Reserve / Bulk Zone,6,187
2100127883,C,Z,Reserve / Bulk Zone,6,188
7115900929,C,Z,Reserve / Bulk Zone,6,189
2100136853,C,Z,Reserve / Bulk Zone,6,190
2100124470,C,Z,Reserve / Bulk Zone,6,191
2100132581,C,Z,Reserve / Bulk Zone,6,192
7211005205,C,Z,Reserve / Bulk Zone,6,193
7211419726,C,Z,Reserve / Bulk Zone,6,194
2100124952,C,Z,Reserve / Bulk Zone,6,195
7211004800,C,Z,Reserve / Bulk Zone,6,196
7115900320,C,Z,Reserve / Bulk Zone,6,197
2100131480,C,Z,Reserve / Bulk Zone,6,198
1510002021,C,Z,Reserve / Bulk Zone,6,199
7211004935,C,Z,Reserve / Bulk Zone,6,200
1510002236,C,Z,Reserve / Bulk Zone,6,201
8010001306,C,Z,Reserve / Bulk Zone,6,202
1510002673,C,Z,Reserve / Bulk Zone,5,203
2100139669,C,Z,Reserve / Bulk Zone,5,204
3100518419,C,Z,Reserve / Bulk Zone,5,205
2100111897,C,Z,Reserve / Bulk Zone,5,206
1830008849,C,Z,Reserve / Bulk Zone,5,207
2100102198,C,Z,Reserve / Bulk Zone,5,208
1510002688,C,Z,Reserve / Bulk Zone,5,209
2100120058,C,Z,Reserve / Bulk Zone,5,210
2100113187,C,Z,Reserve / Bulk Zone,5,211
2100122011,C,Z,Reserve / Bulk Zone,5,212
2100121736,C,Z,Reserve / Bulk Zone,5,213
8010001304,C,Z,Reserve / Bulk Zone,5,214
2100132678,C,Z,Reserve / Bulk Zone,5,215
7115900875,C,Z,Reserve / Bulk Zone,5,216
7211004307,C,Z,Reserve / Bulk Zone,5,217
7115900933,C,Z,Reserve / Bulk Zone,5,218
2100104348,C,Z,Reserve / Bulk Zone,5,219
1830008693,C,Z,Reserve / Bulk Zone,5,220
1830008199,C,Z,Reserve / Bulk Zone,5,221
4200009017,C,Z,Reserve / Bulk Zone,4,222
7211004311,C,Z,Reserve / Bulk Zone,4,223
4200009020,C,Z,Reserve / Bulk Zone,4,224
2100124953,C,Z,Reserve / Bulk Zone,4,225
2100139519,C,Z,Reserve / Bulk Zone,4,226
7211003246,C,Z,Reserve / Bulk Zone,4,227
7211004889,C,Z,Reserve / Bulk Zone,4,228
7212000245,C,Z,Reserve / Bulk Zone,4,229
7115900886,C,Z,Reserve / Bulk Zone,4,230
4200008264,C,Z,Reserve / Bulk Zone,4,231
2100136855,C,Z,Reserve / Bulk Zone,4,232
1830009180,C,Z,Reserve / Bulk Zone,4,233
2100131504,C,Z,Reserve / Bulk Zone,4,234
1830008851,C,Z,Reserve / Bulk Zone,4,235
7115900936,C,Z,Reserve / Bulk Zone,4,236
7115900920,C,Z,Reserve / Bulk Zone,4,237
2100110226,C,Z,Reserve / Bulk Zone,4,238
7211004825,C,Z,Reserve / Bulk Zone,4,239
1830008955,C,Z,Reserve / Bulk Zone,4,240
2100115594,C,Z,Reserve / Bulk Zone,4,241
1830007584,C,Z,Reserve / Bulk Zone,4,242
2100122010,C,Z,Reserve / Bulk Zone,4,243
2100125477,C,Z,Reserve / Bulk Zone,4,244
7211419765,C,Z,Reserve / Bulk Zone,3,245
2100112290,C,Z,Reserve / Bulk Zone,3,246
4200008369,C,Z,Reserve / Bulk Zone,3,247
4200008236,C,Z,Reserve / Bulk Zone,3,248
2100139708,C,Z,Reserve / Bulk Zone,3,249
7115900323,C,Z,Reserve / Bulk Zone,3,250
1830006980,C,Z,Reserve / Bulk Zone,3,251
7115900940,C,Z,Reserve / Bulk Zone,3,252
3100518439,C,Z,Reserve / Bulk Zone,3,253
7211003215,C,Z,Reserve / Bulk Zone,3,254
7115900925,C,Z,Reserve / Bulk Zone,3,255
2100120187,C,Z,Reserve / Bulk Zone,3,256
7211003360,C,Z,Reserve / Bulk Zone,3,257
2100113186,C,Z,Reserve / Bulk Zone,3,258
7211004214,C,Z,Reserve / Bulk Zone,3,259
7211003259,C,Z,Reserve / Bulk Zone,3,260
2100112281,C,Z,Reserve / Bulk Zone,3,261
7114000560,C,Z,Reserve / Bulk Zone,3,262
2100114152,C,Z,Reserve / Bulk Zone,3,263
2100102197,C,Z,Reserve / Bulk Zone,3,264
2100132742,C,Z,Reserve / Bulk Zone,3,265
2100126395,C,Z,Reserve / Bulk Zone,3,266
2100125863,C,Z,Reserve / Bulk Zone,3,267
2027437120,C,Z,Reserve / Bulk Zone,3,268
2100120060,C,Z,Reserve / Bulk Zone,3,269
4200008100,C,Z,Reserve / Bulk Zone,3,270
7211004776,C,Z,Reserve / Bulk Zone,3,271
2100114761,C,Z,Reserve / Bulk Zone,3,272
2100131958,C,Z,Reserve / Bulk Zone,3,273
2100131479,C,Z,Reserve / Bulk Zone,3,274
1510002069,C,Z,Reserve / Bulk Zone,3,275
7211419479,C,Z,Reserve / Bulk Zone,3,276
2100125396,C,Z,Reserve / Bulk Zone,3,277
2100116143,C,Z,Reserve / Bulk Zone,3,278
7212000239,C,Z,Reserve / Bulk Zone,3,279
7211004496,C,Z,Reserve / Bulk Zone,3,280
2100110229,C,Z,Reserve / Bulk Zone,3,281
