region,my_phuoc_orders,vinh_loc_orders,my_phuoc_quantity,vinh_loc_quantity,region_orders,region_quantity,my_phuoc_order_share,vinh_loc_order_share,my_phuoc_quantity_share,vinh_loc_quantity_share,quantity_share_gap,dominant_warehouse,dominant_warehouse_flag
Đông Nam Bộ,1518,819,115047.0,10569.899603174603,2337,125616.8996031746,0.6495507060333762,0.3504492939666239,0.9158560700306643,0.08414392996933574,0.8317121400613285,My Phuoc,1
Bắc Trung Bộ và Duyên hải miền Trung,887,140,65993.0,1613.2291666666667,1027,67606.22916666667,0.8636806231742941,0.13631937682570594,0.9761378620498172,0.023862137950182723,0.9522757240996345,My Phuoc,1
Đồng bằng sông Cửu Long,670,130,38556.0,1647.7916666666667,800,40203.791666666664,0.8375,0.1625,0.9590140233456422,0.04098597665435785,0.9180280466912843,My Phuoc,1
Đồng bằng sông Hồng,242,261,16909.0,5123.1875,503,22032.1875,0.48111332007952284,0.5188866799204771,0.7674680510049218,0.23253194899507823,0.5349361020098435,My Phuoc,1
Tây Nguyên,197,50,5956.0,597.3333333333334,247,6553.333333333333,0.7975708502024291,0.20242914979757085,0.9088504577822991,0.09114954221770093,0.8177009155645982,My Phuoc,1
Trung du và miền núi phía Bắc,94,49,3100.0,100.29166666666667,143,3200.2916666666665,0.6573426573426573,0.34265734265734266,0.9686617105211766,0.03133828947882355,0.937323421042353,My Phuoc,1
