customer_segment,packaging_unit,quantity,quantity_share
Modern Trade,carton,28244.0,0.22521050192941414
Modern Trade,loose,2791.5583333333334,0.022259179061579055
Modern Trade,pallet,94376.0,0.7525303190090068
Traditional Trade / Distributor,carton,68047.0,0.4915157442398004
Traditional Trade / Distributor,loose,10313.174603174602,0.07449391877017904
Traditional Trade / Distributor,pallet,60083.0,0.4339903369900205
