abc_quantity,xyz,sku_count,quantity,order_frequency,cbm_total
A,X,8,96919.0,4892,7119.190224999999
A,Y,24,252288.16666666666,7276,14851.064916500001
A,Z,8,77663.0,1483,4668.677938250001
B,X,14,25718.933333333334,5678,993.8106473833335
B,Y,32,57185.083333333336,7818,3322.0684878283337
B,Z,22,40164.0,1696,2311.5293023333334
C,X,22,6925.083333333333,3034,365.08719087500003
C,Y,118,25150.616666666665,9805,1177.8346438702667
C,Z,367,29698.3154265873,6543,1462.806426423633
