abc_quantity,xyz,sku_count,quantity,order_frequency,cbm_total
A,X,1,3952.0,1078,214.132128
A,Y,19,89651.66666666667,11531,5655.340740622501
A,Z,59,189714.26666666666,8808,10113.671893466668
B,Y,19,8801.716666666667,3610,343.6442601666667
B,Z,99,45437.9375,8839,2491.4520920753334
C,Y,9,1102.5833333333333,752,46.23585216666667
C,Z,366,16704.628720238095,6935,789.3025497996989
