geography_source,shipment_rows,orders,quantity,row_share,quantity_share
transaction_text_parse,12645,3248,163919.50833333333,0.592438155922039,0.5911381965227082
distributor_match,5508,1184,54169.19583333333,0.2580584707646177,0.19534880904404495
unresolved,3191,987,59206.02876984127,0.14950337331334332,0.21351299443324676
