region,shipment_lines,orders,customers,quantity,cbm_total
Đông Nam Bộ,9460,2158,140,88475.44166666667,5040.40400364481
Bắc Trung Bộ và Duyên hải miền Trung,3551,910,68,65220.479166666664,3800.0882629976504
Đồng bằng sông Cửu Long,2271,602,58,32335.833333333332,1967.4054546305167
Đồng bằng sông Hồng,921,345,31,18673.008333333335,1182.1670647511
Trung du và miền núi phía Bắc,1270,321,36,8611.625,480.63637976695003
Tây Nguyên,680,197,16,4772.316666666667,257.37108531753336
