customer_segment,orders,customers,avg_order_quantity,median_order_quantity,avg_order_cbm,median_order_cbm,avg_sku_breadth,avg_lines_per_order,avg_distance_km,lead_time_sensitivity,normalized_frequency_7m,active_month_frequency,avg_orders_per_customer_month,province_count,region_count,top_province_quantity_share,segment_sku_breadth,carton_qty_share,loose_qty_share,pallet_qty_share,provinces
Modern Trade,1564,132,80.1864183716965,18.5,5.160962801243969,1.084429025625,2.8395140664961636,2.9789002557544757,277.6970748125938,"High (4,947.85 safety stock units per sqrt(LT) day)",1.6926406926406925,6.375793650793651,1.6926406926406925,34,6,0.23495548356886564,196,0.22521050192941414,0.022259179061579055,0.7525303190090068,34
Traditional Trade / Distributor,3782,270,41.32553532606415,11.0,2.1301730493329183,0.5379085,4.333950290851401,4.426493918561608,287.71810544542933,"Low (3,962.68 safety stock units per sqrt(LT) day)",2.001058201058201,4.3190740740740745,2.001058201058201,60,6,0.272943114847685,462,0.4853506891302162,0.09768932419435593,0.41695998667542783,60
