region,shipment_lines,orders,customers,quantity,cbm_total
Đông Nam Bộ,10428,2337,177,125616.8996031746,7089.1199131318435
Bắc Trung Bộ và Duyên hải miền Trung,4204,1027,77,67606.22916666667,3837.2817992837336
Đồng bằng sông Cửu Long,3208,800,68,40203.791666666664,2361.557086660867
Đồng bằng sông Hồng,1555,503,39,22032.1875,1359.9195339344167
Tây Nguyên,1054,247,16,6553.333333333333,333.94613962100004
Trung du và miền núi phía Bắc,334,143,21,3200.2916666666665,217.02924541666667
