sku_code,sap_code,sap_code_2,updated_date,sku_row_no,type,com_code,product_name,unit,category,pcs_per_carton,carton_length_mm,carton_width_mm,carton_height_mm,pcs_per_pallet,cartons_per_layer,layers_per_pallet,loose_pcs_per_pallet,volume_m3,carton_volume_from_dims_m3,cbm_incl_flap_m3,pcs_weight_kg,carton_weight_kg,pallet_base_pcs_capacity,weight_conflict_flag,imputation_notes
7115900756,,7115900756,,47,CW,F23A26IH,Chảo vân đá chống dính dùng trên bếp từ Rock F23A26IH- 26cm,CÁI,CW,6,455,295,315,210,,,0,,0.042280875,0.0070468125,1.0,6.0,,0,
7115900758,,7115900758,,48,CW,F23A24,Chảo vân đá chống dính Rock F23A24-24cm,CÁI,CW,6,440,275,305,270,,,0,,0.036905,0.006150833333333334,0.933,5.6,,1,
7115900759,,7115900759,,49,CW,F23A26,Chảo vân đá chống dính Rock F23A26-26cm,CÁI,CW,6,455,295,315,210,,,0,,0.042280875,0.0070468125,1.067,6.4,,1,
7115900760,,7115900760,,50,CW,F23A28,Chảo vân đá chống dính Rock F23A28-28cm,CÁI,CW,6,475,315,325,210,,,0,,0.048628125,0.0081046875,1.233,7.4,,1,
7115900778,,7115900778,,51,CW,HT08008-2C,Nồi canh lẻ Healthy - 20cm,CÁI,CW,4,455,275,285,216,,,0,,0.035660625,0.00891515625,0.8,3.2,,0,
7115900779,,7115900779,,52,CW,HT08008-4C,Nồi canh lẻ Healthy - 26cm,CÁI,CW,4,580,305,345,120,,,0,,0.0610305,0.015257625,1.5,6.0,,0,
7115900780,,7115900780,,53,CW,HT08008-5C,Nồi canh lẻ Healthy- 24cm,CÁI,CW,4,545,290,325,120,6,5,0,,0.05136625,0.0128415625,1.2,4.8,120,0,
7115900781,,7115900781,,54,CW,HT08008-8C,Nồi canh lẻ Healthy - 28cm,CÁI,CW,4,620,315,415,64,,,0,,0.0810495,0.020262375,1.975,7.9,,0,
7115900782,,7115900782,,55,CW,HT08008-1C,Nồi canh lẻ Healthy - 18cm,CÁI,CW,4,415,260,270,216,,,0,,0.029133,0.007283250000000001,0.663,2.65,,1,
7115900793,,7115900793,,56,CW,H18201-J28,Chảo chống dính  Lux IH  H18201-J28  28 cm,CÁI,CW,6,475,315,325,210,,,0,,0.048628125,0.0081046875,1.283,7.7,,1,
7115900794,,7115900794,,57,CW,H18201-SJ28,Chảo chống dính sâu lòng  Lux IH H18201-SJ28 28 cm,CÁI,CW,3,535,310,245,126,,,0,,0.04063325,0.01354441666666667,1.333,4.0,,1,
